,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Gender_Male
13612,0.561964719702336,0.34423702401016215,0.14970599751946664,0.4436790853639499,0.0,1.0,1.0,0.5285166939106931,1.0,0.0,1.0
4440,0.7239999999999999,0.1891891891891892,0.9,0.4009836025455595,0.0,1.0,0.0,0.8284865204627041,0.0,0.0,1.0
723,0.852,0.27027027027027034,0.2,0.6768662926050972,0.0,1.0,0.0,0.8464814389774223,0.0,0.0,0.0
15459,0.7601910016671305,0.3049324485244267,0.5921749940459622,0.5019662056966034,0.0,1.0,1.0,0.9277141441543413,1.0,0.0,1.0
10618,0.6364684554199864,0.2573898046216034,0.2953154458001356,0.6225196531995252,0.22742728244429378,0.0,0.0,0.7086080111080257,0.0,0.0,0.0
9708,0.7739999999999999,0.05405405405405406,1.0,0.44457596309322245,0.3333333333333333,0.0,0.0,0.5316321208675429,1.0,0.0,0.0
352,0.43600000000000005,0.1891891891891892,0.7000000000000001,0.6751729357525201,0.0,1.0,0.0,0.3096527718397107,0.0,1.0,0.0
15324,0.3657220608727011,0.3861024066716999,0.45715780937057904,0.433784466189113,0.0,0.0,0.0,0.48418699009586064,1.0,0.0,1.0
7607,0.9759999999999999,0.3108108108108108,0.5,0.0,0.3333333333333333,1.0,0.0,0.4065484753793987,0.0,1.0,0.0
10272,0.5089132977753981,0.39142110759118354,0.814825809808738,0.5910234228256169,0.0,1.0,0.0,0.23076275440883856,0.0,0.0,1.0
933,0.32399999999999995,0.24324324324324326,0.1,0.0,0.0,0.0,1.0,0.6774180934279224,0.0,1.0,1.0
9796,0.584,0.05405405405405406,1.0,0.44564914782731113,0.3333333333333333,1.0,1.0,0.9152568070250708,1.0,0.0,1.0
11814,0.5648342585110409,0.31894502401536867,0.30000000000000004,0.3601892910919879,0.0,1.0,1.0,0.08609011992944579,0.0,0.0,1.0
632,0.9779999999999999,0.2027027027027027,1.0,0.3012873872415689,0.0,1.0,0.0,0.31334412436387676,0.0,1.0,0.0
9610,0.20999999999999996,0.2972972972972973,0.1,0.0,0.6666666666666667,0.0,1.0,0.6498808636224759,0.0,0.0,1.0
9458,0.346,0.24324324324324326,0.8,0.6311368093714863,0.3333333333333333,1.0,0.0,0.7765389094658539,0.0,0.0,1.0
4856,0.892,0.35135135135135137,0.8,0.6589376587123482,0.0,1.0,1.0,0.28599716272904063,0.0,0.0,1.0
13048,0.7686222648612097,0.3012626441473426,0.2737773513879027,0.4348310746030657,0.7540754953736577,1.0,0.0,0.2162930652022655,1.0,0.0,1.0
