,Exited
13612,1
4440,0
723,0
15459,1
10618,1
9708,0
352,0
15324,1
7607,0
10272,1
933,1
9796,0
11814,1
632,0
9610,0
9458,0
4856,0
13048,1
7997,0
11658,1
5833,1
2045,0
10670,1
15567,1
10321,1
5177,1
2281,0
13641,1
7590,1
2829,0
10507,1
14978,1
4520,1
1911,0
14011,1
3193,1
12282,1
8856,0
3930,1
8585,1
1079,0
13040,1
3404,0
12508,1
8286,0
4681,0
13503,1
7349,0
13859,1
5525,0
3833,0
13279,1
8050,0
7357,0
977,0
4381,0
3749,0
7089,0
15045,1
8354,0
10379,1
3821,0
13359,1
9292,0
7304,0
12005,1
9332,1
2308,0
11810,1
9033,0
3095,0
9438,1
8057,0
14044,1
3443,1
13087,1
4794,0
7093,1
6939,0
11962,1
1702,0
6955,0
8994,0
12119,1
12203,1
14802,1
10015,1
7440,0
9522,0
11902,1
2737,0
15101,1
1011,0
9301,0
4256,0
11064,1
14123,1
13338,1
8918,1
15870,1
5507,1
4545,0
1914,0
1553,0
5054,0
8926,0
1228,0
7143,0
4703,0
6909,0
10336,1
9874,0
4724,0
6905,0
13659,1
11574,1
7731,1
2160,0
2482,0
13782,1
8412,1
1294,0
14661,1
15759,1
2815,0
6333,0
4651,0
4796,0
14206,1
15635,1
15806,1
3991,1
6717,1
8950,0
1779,0
11249,1
340,1
15624,1
1635,0
14136,1
5176,0
5252,0
8120,0
1946,0
11857,1
1987,1
8233,0
532,0
8000,0
4673,0
7282,1
12930,1
3074,1
358,0
12523,1
710,0
4108,0
2092,1
1166,0
4208,0
10573,1
13699,1
8595,1
15396,1
6988,0
14111,1
5418,0
4466,0
7773,1
3203,0
14001,1
13467,1
2949,0
5220,1
13482,1
3198,0
9106,1
33,0
3738,0
3061,0
7581,0
3277,0
12619,1
7246,0
6693,0
15864,1
1002,0
12918,1
5463,0
1879,0
14946,1
15125,1
1854,1
6210,0
13373,1
13818,1
8036,0
309,0
2802,1
15416,1
10018,1
14427,1
11424,1
14436,1
10894,1
4318,0
13306,1
9947,1
11239,1
5573,0
4827,1
10679,1
8432,1
3714,0
10305,1
7422,0
9952,0
10775,1
10362,1
9986,0
1067,0
2221,1
15436,1
11263,1
13705,1
8405,0
14840,1
4171,0
4272,0
14152,1
12892,1
1198,0
11297,1
6024,0
9490,0
15458,1
9280,0
15162,1
14431,1
11680,1
15189,1
3068,0
2474,1
13934,1
6820,0
13592,1
15518,1
6189,0
2345,0
9571,1
3824,0
3689,0
1451,0
1397,1
9617,0
11217,1
15587,1
4522,0
2868,1
1187,1
8258,0
8803,0
13265,1
6127,0
7780,0
660,0
14649,1
4357,0
1707,0
7976,0
4182,1
1013,0
12409,1
3139,0
169,0
15296,1
11603,1
4063,0
1519,1
13908,1
2515,1
384,0
3881,0
15525,1
2300,0
9211,0
6301,0
11312,1
9943,0
12565,1
5822,0
12713,1
13800,1
9592,0
1799,0
1994,1
270,0
4661,0
3734,0
11116,1
13003,1
5610,0
7975,0
12467,1
2187,0
14920,1
3715,1
7721,0
3498,0
12949,1
3548,0
5882,1
2339,0
6435,0
14199,1
15680,1
12864,1
470,0
3506,0
4054,1
14106,1
12577,1
3955,0
15142,1
11433,1
6251,0
10949,1
5147,0
15512,1
15644,1
5904,1
8091,0
5485,0
8604,0
6605,0
10742,1
14733,1
12448,1
7857,0
6041,0
10116,1
9814,0
4457,0
10464,1
5575,0
5317,0
5134,1
6720,0
2550,0
9726,0
